# abbreviations used in physics journals
ADNDT....	At Data Nucl Data Tables
AIChE....	AIChE J
APh......	Astropart Phys
ApJ......	Astrophys J
ApJ......	Astrophys J Lett Ed
AcAau....	Acta Astraunautica
AcMec....	Acta Metall
AcPSn....	Acta Phys Sin
AcPhH....	Acta Phys Hung
AdApM....	Adv Appl Math
AdCM.....	Adv Ceram Mater
AdPhy....	Adv Phys
AkZh.....	Akust Zh
AmJPh....	Am J. Phys
AmMin....	Am Miner
AmMin....	Am Mineral
AnIHP....	Ann Inst Henri Poincar
AnP......	Ann Phys (Leipzig)
AnPh.....	Ann Phys (Paris)
AnPhy....	Ann Phys
AnPhy....	Ann Phys (NY)
AnRMS....	Annu Rev Mater Sci
AnRMS....	Annu Rev Matter Sci
AnaCh....	Anal Chem
Angew....	Chem
Angew....	Chem Int Ed
Angew....	Chem Int Ed Engl
Angew....	Chem Intern Ed
ApNM.....	Appl Numer Math
ApOpt....	Appl Opt
ApPhA....	Appl Phys A
ApPhB....	Appl Phys B
ApPhL....	App Phys Lett
ApPhL....	Appl Phys Lett
ApPhy....	Appl Phys
ApSS.....	Appl Surf Sci
BSSA.....	Bull Seis Soc Am
CR.......	C. R. Acad Sci
CR.......	C. R. Acad Sci (Paris)
CR.......	C. R. Acad Sci Paris
CRASB....	C. R. Acad Sci Ser B
CRASB....	C. R. Acad Ser B
CRASB....	CR Acad Sci Ser B
CaJCh....	Can J. Chem
CaJPh....	Can J. Phys
CPL......	Chem Phys Lett
ChPhL....	Chin Phys Lett
CMaPh....	Commun Math Phys
CPAM.....	Commun Pure Appl Math
JCoCh....	Comp Chem
CoPhC....	Comp Phys Commun
JCoCh....	Comput Chem
CoPhC....	Comput Phys Commun
ConPh....	Contemp Phys
Cryo.....	Cryogenics
Cryo.....	Cyrogenics
CzJPh....	Czech J. Phys B
DoSSR....	Dok Akad Nauk SSSR
DoSSR....	Dokl Akad Nauk SSR
DoSSR....	Dokl Akad Nauk SSSR
E&PSL....	Earth Planet Sci Lett
ETATF....	Eesti NSV Tead Akad Fuus Mat (USSR)
ElL......	Electron Lett
EnFM.....	Eng Fract Mech
EPJA.....	Eur Phys J A
EPJAP....	Eur Phys J Appl Phys
EPJB.....	Eur Phys J B
EPJC.....	Eur Phys J C
EPJD.....	Eur Phys J D
EL.......	Europ Lett
EL.......	Europhys Lett
FBS......	Few Body Syst
FBS......	Few Body Syst Suppl
FCPh.....	Fundam Cosmic Phys
FizMM....	Fiz Met Metalloved
FizMM....	Fiz Met Metalloved (USSR)
FizMM....	Fiz Metal Metalloved
FizNT....	Fiz Nizk Temp
FizTT....	Fiz Tver Tela
FizTT....	Fiz Tver Tela (Leningrad)
FizTT....	Fiz Tverd Tela
FizTT....	Fiz Tverd Tela (Leningard)
FizTT....	Fiz Tverd Tela Leningrad
FizTT....	Fizika Tverd Tela (Leningrad)
FoPh.....	Found Phys
FoPh.....	Found Phys Lett
GReGr....	Gen Relativ Gravit
GeCoA....	Geochim Cosmochim Acta
Geo......	Geology
Geoph....	Geophys
GeoRL....	Geophys Res Lett
AcHPh....	Helv Phys Acta
HTHP.....	High Temp High Pressures
HTemS....	High Temp Sci
HTHP.....	High Temp-High Pressures
HyInt....	Hyp Int
HyInt....	Hyperfine Inter
HyInt....	Hyperfine Interac
HyInt....	Hyperfine Interact
HyInt....	Hyperfine Interactions
IJMPB....	I J. Mod Phys B
IBMJ.....	IBM J. Res
IBMJ.....	IBM J. Res Dev
IBMJ.....	IBM J. Res Develop
IPMAP....	IEEE Antennas Propagat
IEDL.....	IEEE Electron Dev Lett
IEDL.....	IEEE Electron Device Lett
IEDL.....	IEEE Electron Devices Lett
IJQE.....	IEEE J. Quant Electron
IJQE.....	IEEE J. Quantum Electron
IJSSC....	IEEE J. Solid State Circuits
IPTL.....	IEEE Phot Tech Lett
IPTL.....	IEEE Photon Technol Lett
ITCS.....	IEEE Trans Circ Syst
ITED.....	IEEE Trans Electron Dev
ITED.....	IEEE Trans Electron Devices
ITIM.....	IEEE Trans Instrum Meas
ITM......	IEEE Trans Mag
ITM......	IEEE Trans Magn
ITM......	IEEE Trans Magn
ITM......	IEEE Trans Magn MAG-
ITM......	IEEE Trans Magn Mag-
ITNS.....	IEEE Trans Nucl Sci
ITPS.....	IEEE Trans Plasma Sci
NCimD....	Il Nuovo Cimento D
NCim.....	Riv Nuovo Cimento
InfPh....	Infrared Phys
InCh.....	Inorg Chem
IJFr.....	Int J. Fract
IJIMW....	Int J. Infrared Millimeter Waves
IJMSI....	Int J. Mass Spectrom Ion Phys
IJMSI....	Int J. Mass Spectrom Ion Process
IJMSI....	Int J. Mass Spectrom Ion Processes
IJMSI....	Int J. Mass Spectrosc Ion Proc
IJMPA....	Int J. Mod Phys A
IJMPB....	Int J. Mod Phys B
IJMPC....	Int J. Mod Phys C
IJMPD....	Int J. Mod Phys D
IJMPE....	Int J. Mod Phys E
IJQC.....	Int J. Quantum Chem
IJSS.....	Int J. Solids Struct
IMeRv....	Inter Metals Rev
IzLat....	Izv Acad Nauk LatvSSR
ASAJ.....	J. Acoust Soc Am
JAllC....	J. Alloys Comp
JAllC....	J. Alloys Compds
JAllC....	J. Alloys Compounds
JACS.....	J. Am Ceram Soc
JAChS....	J. Am Chem
JAChS....	J. Am Chem Sco
JAChS....	J. Am Chem Soc
JApEl....	J. Appl Electrochem
JMagR....	J. Appl Magn Reson
JAP......	J. Appl Phys
JPoSc....	J. Appl Polym Sci
ApJ......	J. Astrophys
JChPh....	J. Chem Phys
JCIS.....	J. Coll Interface Sci
JCIS.....	J. Colloid Interface Sci
JCIS.....	J. Colloid Sci
JCoCh....	J. Comp Chem
JCoCh....	J. Comput Chem
JCoPh....	J. Comput Phys
JPCM.....	J. Condens Matter
JCrGr....	J. Crys Growth
JCrGr....	J. Cryst Growth
JEMat....	J. Electron Mater
JEMT.....	J. Electron Microsc
JEMT.....	J. Electron Microsc Tech
JEMT.....	J. Electron Microscopy Tech
JESRP....	J. Electron Specrosc Relat Phenom
JESRP....	J. Electron Spectros Relat Phenom
JESRP....	J. Electron Spectrosc
JESRP....	J. Electron Spectrosc
JESRP....	J. Electron Spectrosc Rel Phenom
JESRP....	J. Electron Spectrosc Relat Phen
JESRP....	J. Electron Spectrosc Relat Phenom
JFM......	J. Fluid Mech
FrInJ....	J. Franklin Inst
JGR......	J. Geophys Res
JaIMJ....	J. Inst Metals
JaIMJ....	J. Jpn Inst Met
JaIMJ....	J. Jpn Inst Metals
JLCM.....	J. Less Common Met
JLCM.....	J. Less Common Metals
JLCM.....	J. Less-Common Met
JLCM.....	J. Less-Common Metals
JLTP.....	J. Low Tem Phys
JLTP.....	J. Low Temp Phys
JLTP.....	J. Low Temp Phys
JLTP.....	J. Low-Temp Phys
JMagR....	J. Mag Res
JMagR....	J. Mag Reson
JMMM.....	J. Magn Mag Mater
JMMM.....	J. Magn Magn Mat
JMMM.....	J. Magn Magn Mater
JMMM.....	J. Magn Magn Matter
JMMM.....	J. Magn Mater
JMagR....	J. Magn Res
JMagR....	J. Magn Reson
JMP......	J. Mat Phys
JMatR....	J. Mater Res
JMatS....	J. Mater Sci
JMSL.....	J. Mater Sci Lett
JMP......	J. Math Phys
JMP......	J. Math Phys (NY)
JMPSo....	J. Mech Phys Solids
JMet.....	J. Metals
JMOp.....	J. Mod Opt
JMOp.....	J. Modern Opt
JMoEl....	J. Mol Electron
JMoSp....	J. Mol Spectrosc
JMoSt....	J. Mol Struct
JMoSt....	J. Molecular Structure (Theochem)
JNCS.....	J. Non Cryst Solids
JNCS.....	J. Non-Cryst Solid
JNCS.....	J. Non-Cryst Solids
JNuM.....	J. Nucl Mater
JOpt.....	J. Opt
