 22025
....A&A......	R	Astronomy and Astrophysics
....A&AA.....	J	Astronomy and Astrophysics Abstracts Heidelberg
....A&ARv....	R	Astronomy and Astrophysics Review
....A&AS.....	R	Astronomy and Astrophysics Supplement Series
....A&AT.....	R	Astronomical and Astrophysical Transactions
....A&C......	R	Astronomy and Computing
....A&G......	J	Astronomy and Geophysics
....A&R......	R	Astronomie und Raumfahrt
....AAABS....	R	Asociacion Argentina de Astronomia La Plata Argentina Book Series
....AAAN.....	J	Astronomische Abhandlungen als Erganzungshefte zu den Astronomische Nachrichten
....AAAR.....	R	Arctic, Antarctic and Alpine Research
....AADDR....	J	Abhandlungen Akad. Wiss. DDR
....AAfz.....	R	Astrometriia i Astrofizika
....AAGot....	J	Abhandlungen Akad. Wiss. G&ouml;ttingen
....AAHam....	J	Astronomische Abhandlungen der Hamburger Sternwarte
....AAIzN....	J	Alma Ata Izdatel Nauka
....AALST....	J	Atti Accad. Ligure Sci. Lett.
....AAM......	R	Archive of Applied Mechanics
....AAMOP....	R	Advances in Atomic Molecular and Optical Physics
....AAMS.....	R	Adv. Appl. Mech. Suppl.
....AAN......	J	AAVSO Alert Notice
....AAONw....	J	Anglo-Australian Observatory Epping Newsletter
....AAOPr....	J	Anglo-Australian Observatory Epping Preprint
....AAPon....	J	Atti Accad. Pontaniana
....AAS......	C	American Astronomical Society Meeting Abstracts
....AASF.....	J	Ann. Acad. Sci. Fennicae
....AASHS....	J	AAS Hist. Ser.
....AASP.....	R	Advances in Astronomy and Space Physics
....AASPB....	J	AAS Photo Bulletin
....AASPP....	J	Astrononomy and Astrophysics Series
....AAST.....	J	Atti Accad. Sco. Torino I
....AAVSB....	J	AAVSO Solar Bulletin
....AAVSC....	J	AAVSO Circular
....AAVSN....	J	AAVSO Newsletter
....AbaOB....	J	Abastumanskaia Astrofizicheskaia Observatoriia Byulleten
....AbApA....	J	Abstract and Applied Analysis
....AbbOO....	J	Abbadia Observatory Observations
....AbhBr....	J	Abh. naturwiss. Verein Bremen
....AbhKP....	J	Abh. Konigl. Preuss. Akad. Wissenschaften Jahre 1906,92, Berlin,1907
....AbhP.....	J	Abh. der Preu&szlig;. Akademie der Wissenschaften Jahrg
....ABKie....	J	Astronomische Beobachtungen auf der Sternwarte der Koeniglichen Christian-Albrechts-Universitaet zu Kiel
....ABMun....	J	Astronomische Beobachtungen angestellt auf der K. Sternwarte zu Bogenhausen bei Muenchen
....ABSBe....	J	Astronomische Beobachtungen auf der Koniglichen Sternwarte zu Berlin
....ABWG.....	J	Abh. Braunschweigische Wissenschaftliche Ges.
....AcA......	R	Acta Astronomica
....AcAAS....	R	Acta Aeronautica et Astronautica Sinica
....AcAau....	R	Acta Astronautica
....AcAcu....	R	Acta Acustica
....AcAer....	R	Acta Aerodynamica Sinica
....AcApS....	R	Acta Astrophysica Sinica
....AcAri....	R	Acta Arithmetica
....AcArm....	R	Acta Armamentarii
....AcASn....	R	Acta Astronomica Sinica
....AcAuS....	R	Acta Automatica Sinica
....AcBu.....	J	Acoust. Bull.
....AcC......	R	Acta Cosmologica
....AcChR....	J	Accounts Chem. Res.
....AcCrA....	R	Acta Crystallographica Section A
....AcCrD....	R	Acta Crystallographica Section D
....AcEle....	R	Acta Electronica
....AcElS....	R	Acta Electronica Sinica
....ACESJ....	R	Applied Computational Electromagnetics Society Journal
....AcESn....	R	Acta Electron. Sinica
....AcGeo....	R	Acta Geophysica
....AcGeP....	R	Acta Geophysica Polonica
....AcGG.....	R	Acta Geod. Geophys.
....AcGSn....	R	Acta Geophys. Sinica
....AcHA.....	R	Acta Historica Astronomiae
....AcHPh....	R	Helvetica Physica Acta
....AcHPS....	R	Helvetica Physica Acta Supplementum
....ACiCh....	J	Astronomical Circular
....ACIP.....	J	Acta Cienc. Indica Phys.
....AcM&M....	R	Acta Metallurgica et Materialia
....AcMa.....	R	Acta Mathematica
....ACMan....	J	Astronomical Contributions from the University of Manchester
....AcMaS....	R	Acta Mathematica Sinica
....AcMat....	R	Acta Materialia
....AcMCS....	R	Acta Materiae Compositae Sinica
....AcMec....	R	Acta Mechanica
....AcMeS....	R	Acta Meteorologica Sinica
....AcMet....	R	Acta Metallurgica
....AcMik....	R	Mikrochimica Acta
....AcMPh....	R	Acta Universitatis Caroliae. Mathematica et Physica
....AcMPS....	R	Acta Universitatis Caroliae. Mathematica et Physica Supplement
....AcMSn....	R	Acta Mechanica Sinica
....AcMSS....	R	Acta Mechanica Solida Sinica
....AcMSw....	R	Acta Mathematica Sweden
....AcNum....	R	Acta Numerica
....AcO......	R	Acta Oecologica
....AcOpS....	R	Acta Optica Sinica
....AcOpt....	R	Optica Acta
....AcOSi....	R	Acta Oceanica Sinica
....AcouL....	R	Acoustics Letters
....ACP......	R	Atmospheric Chemistry & Physics
....AcPAS....	R	Acta Physica Austriaca Supplement
....ACPD.....	R	Atmospheric Chemistry & Physics Discussions
....AcPhA....	R	Acta Physica Austriaca
....AcPhC....	R	Acta Physica et Chemica
....AcPhH....	R	Acta Physica Hungarica
....AcPhS....	R	Acta Physiologica Scandinavica
....AcPhy....	R	Acta Physica
....AcPol....	R	Acta Polytechnica
....AcPP.....	R	Acta Physica Polonica
....AcPPA....	R	Acta Physica Polonica A
....AcPPB....	R	Acta Physica Polonica B
....AcPSc....	R	Acta Polytechnica Scandinavica Applied Physics Series
....AcPSi....	R	Acta Photonica Sinica
....AcPSl....	R	Acta Physica Slovaca
....AcPSn....	R	Acta Physica Sinica
....AcRhe....	R	Rheologica Acta
....ACSB.....	J	American Ceramic Society Bulletin
....ACSC.....	R	American Ceramic Society Communications
....ACSJ.....	R	American Ceramic Society Journal
....AcSpA....	R	Spectrochimica Acta Part A: Molecular Spectroscopy
....AcSpe....	R	Spectrochimica Acta
....AcSSn....	R	Acta Seismologica Sinica
....ACTAp....	R	Automatic Control Theory Applications
....AcTC.....	R	Theoretica Chimica Acta
....AcTec....	R	Acta Technica
....Acu......	R	Acustica
....AcUni....	R	Acta Universitaria
....AD.......	J	Atomic Data
....AdA&A....	R	Advances in Astronomy and Astrophysics
....AdAMP....	R	Advances in Atomic and Molecular Physics
....AdAnS....	R	Advances in the Astronautical Sciences
....AdApM....	R	Advances in Applied Mathematics
....AdAs.....	J	Ad Astra
....adass....	J	Astronomical Data Analysis Software and Systems
....AdAst....	R	Advances in Astronomy
....AdAtS....	R	Advances in Atmospheric Sciences
....ADCBu....	J	Astronomical Data Center Bulletin
....AdChP....	R	Advances in Chemical Physics
....AdCIS....	R	Advances in Colloid and Interface Science
....AdCM.....	R	Advanced Ceramic Materials
....AdCMP....	R	Advances in Condensed Matter Physics
....AdCoL....	R	Advanced Composites Letters
....AdEl.....	R	Advanced Electromagnetics
....AdEPS....	R	Advances in Earth and Planetary Sciences
....AdG......	R	Advances in Geosciences
....AdGeo....	R	Advances in Geophysics
....AdHEP....	R	Advances in High Energy Physics
....ADIL.....	J	Astronomy Data Image Library
....AdMaP....	R	Advances in Mathematical Physics
....AdMet....	R	Advances in Meteorology
....AdMPC....	R	Advances in Materials Physics and Chemistry
....AdMRe....	R	Advances in Magnetic Resonance
....AdMS.....	R	Advances in Materials Science
....AdMSE....	R	Advances in Materials Science and Engineering
....AdMUM....	R	Advances in Mechanics Uspekhi Mekhaniki
....ADNDT....	R	Atomic Data and Nuclear Data Tables
....AdNOp....	R	Advances in Nonlinear Optics
....AdNuP....	R	Advances in Nuclear Physics
....AdOT.....	R	Advanced Optical Technologies
....AdPhy....	R	Advances in Physics
....AdPlP....	J	Advances in Plasma Physics
....AdQC.....	R	Advances in Quantum Chemistry
....AdRS.....	R	Advances in Radio Science
....AdSAC....	R	Advanced Series in Astrophysics and Cosmology
....AdSpR....	R	Advances in Space Research
....AdSR.....	R	Advances in Science and Research
