....AGAb.....	Astronomische Gesellschaft Abstract Series
....AGM......	Astronomische Gesellschaft Meeting Abstracts
....AIPC.....	American Institute of Physics Conference Series
....ASIB.....	NASA Advanced Science Institutes (ASI) Series B
....ASIC.....	NASA Advanced Science Institutes (ASI) Series C
....ASPC.....	Astronomical Society of the Pacific Conference Series
....ASSL.....	Astrophysics and Space Science Library
....IAUCo....	IAU Colloquia
....IAUDS....	IAU Commission on Double Stars
....IAUS.....	IAU Symposium
....LNP......	Berlin Springer Verlag Lecture Notes in Physics
....LPI......	Lunar and Planetary Institute Conference Abstracts
....LPITR....	Lunar and Planetary Institute Technical Report
....LPSC.....	Proceedings Lunar and Planetary Science Conference
....LPSC.....	Lunar and Planetary Science Conference
....LPSC.....	Lunar Science Conference
....RMxAC....	Revista Mexicana de Astronomia y Astrofisica Conference Series
....aans.meet	American Astronautical Society Meeting
....aans.symp	American Astronautical Society Symposium
....acs..meet	American Chemical Society Meeting
....ads..conf	Astrodynamics Specialist Conference
....adse.conf	IAU Colloq. 108: Atmospheric Diagnostics of Stellar Evolution
....aeri.rept	Atmospheric and Environmental Research, Inc. Report
....aiaa.conf	American Institute of Aeronautics and Astronautics Conference
....aiaa.meet	AIAA, Aerospace Sciences Meeting
....aifo.rept	Air Force Interim Report
....alab.rept	Alabama Univ., Huntsville Report
....ames.rept	NASA Ames Research Center Technical Report
....amva.conf	Advances in Molecular Vibrations and Collision Dynamics, A Research Annual
....arcl.rept	Applied Research Corp. Annual Report
....asdy.conf	AAS/AIAA Astrodynamics Conference
....asee.nasa	NASA/ASEE Summer Faculty Fellowship Program
....asi..nasa	Astron. Soc. Inform.
....asph.conf	Astronomical Photography
....asu..rept	Arizona State University Technical Report
....atop.book	Atmospheric Pptics
....atra.conf	Atmospheric Radiation Conference
....burg.conf	Burghausen 4th International Conference on Solar Wind
....cait.rept	California Institute of Technology Report
....ccic.conf	Compilation of Contributions to the 15th International Cosmic Ray Conference
....ceol.symp	Chemical Evolution and the Origin and Evolution of Life
....cfd..symp	Computational Fluid Dynamics Symposium
....cit..rept	California Instute of Technology Technical Report
....coas.conf	Chaos in Astrophysics
....colo.rept	Colorado University Report
....cosp.meet	COSPAR, Plenary Meeting
....crnm.conf	Cosmic Ray NM-64 Neutron Monitor Data
....csc..rept	Computer Sciences Corp. Final Report
....cub..rept	Colorado Univ. Boulder Technical Report
....cuni.rept	Cornell Univ. Final Report
....cuny.rept	Columbia Univ. Annual Report
....dchn.rept	Dartmouth College, Report
....dglr.meet	Deutsche Gesellschaft fuer Luft- und Raumfahrt
....drte.conf	Dissociative Recombination: Theory, Experiment and Applications
....dsn..nasa	Deep Space Network
....eas..conf	Engineering and Science
....ecos.proc	Engineering, Construction, and Operations in Space
....eds..conf	Elastic and Diffractive Scattering
....erbp.symp	European Rocket and Balloon Programs and Related Research
....erp..rept	Environmental Research Papers Air Force Cambridge Research Labs
....esla.symp	ESLAB Symposium
....eso..rept	European Southern Observatory Report
....esrb.rept	European Sounding Rocket, Balloon and Related Research with Emphasis on Experiments at High Latitudes
....eurb.rept	European Rocket Ballong Programmes
....evci.conf	The Evolution of the Galaxies and its Cosmological Implications
....fmet.symp	Flight Mechanics/Estimation Theory Symposium
....fnad.proc	Proceedings of Finnish Astronomers' Days
....fsa..work	Future Space Activities Workshop
....gita.rept	Georgia Institute of Technology Final Report
....gmd..rept	Greenbelt, Md. Workshop
....gmu..rept	George Mason Univ. Technical Report
....grgp.proc	General Relativity and Gravitational Physics
....gtr..rept	Greenwich Time Report
....hawi.rept	Hawaii University Technical Report
....hea..conf	High Energy Astrophysics
....hsth.....	Hubble Space Telescope Handbook
....hstx.rept	Hughes STX, Inc. Technical Report
....huha.rept	Hawaii Univ., Honolulu Report
....hutx.rept	Workshop held in Houston, TX
....hvi..symp	Hypervelocity Impact Symposium
....iapp.rept	International Amateur-Professional Photoelectric Photometric Communications
....icr.....5	5th International Cosmic Ray Conference
....icr....14	14th International Cosmic Ray Conference
....icr....15	15th International Cosmic Ray Conference
....icr....16	16th International Cosmic Ray Conference
....icr....17	17th International Cosmic Ray Conference
....icr....18	18th International Cosmic Ray Conference
....icr....19	19th International Cosmic Ray Conference
....icr....21	21st International Cosmic Ray Conference
....icr....22	22nd International Cosmic Ray Conference
....ictp.rept	International Centre for Theoretical Physics Technical Report
....ieee.conf	Institute of Electrical and Electronics Engineers, Inc. Conference
....iowa.rept	Iowa University Progress Report
....itab.rept	Report on Instrumental and Theoretical Astrophysics
....jhu..rept	Johns Hopkins Univ. Final Report
....jpl..rept	Jet Propulsion Lab. Report
....kiev.rept	Main Astronomical Observatory Kiev, Ukraine Report
....lbor.book	Landolt-Bornstein: Numerical Data and Functional Relationships in Science and Technology
....ldef.symp	Long Duration Exposure Facility
....llnl.rept	Lawrence Livermore National Lab. Report
....lock.rept	Lockheed Missiles and Space Co. Report
....lpi..rept	Lunar and Planetary Inst. Technical Report
....lubr.rept	Louisiana State Univ., Baton Rouge Report
....mevt.rept	Mars: Evolution of Volcanism, Tectonics, and Volatiles
....mfeo.conf	Magnetic Fields and Extragalactic Objects
....mit..rept	Massachusetts Inst. of Tech. Report
....mmc..rept	Martin Marietta Corp. Report
....mms..conf	The Most Massive Stars
....msfc.rept	NASA Marshall Space Flight Center Report
....muaa.rept	Michigan Univ. Final Report
....nasa..crs	NASA Contractor Report Series
....nasa..sps	NASA Special Publication Series
....nasa..tms	NASA Technical Memorandum Series
....nasa.rept	National Aeronautics and Space Administration Report
....ngdc.rept	National Geophysical Data Center Comprehensive Reports
....nhud.rept	New Hampshire Univ. Report
....nmso.rept	NASA Marshall Space Flight Center Solar Observatory Report
....npu..work	Nuclear Physics in the Universe
....nrl..rept	Naval Research Lab. Report
....nro..rept	Nobeyama Radio Observatory Report
....nssy.book	The New Solar System
....ntis.rept	National Technical Information Service Report
....oxun.rept	Oxford Univ Report
....pata.rept	NASA Patent Application
....pcnf.rept	Plasma Physics and Controlled Nuclear Fusion
....pggp.rept	Planetary Geology and Geophysics Program Report
....phce.conf	Physics in the 21st Century
....plas.rept	NASA Reports of Planetary Astronomy
....plas.work	Workshop on Plasma Astrophysics
....prnc.rept	Princeton Univ. Report
....psi..rept	Planetary Science Inst. Report
....pspp.book	Physics of Space Plasmas
....psu..rept	Pennsylvania State Univ. Report
....raincrept	Final Radiophysics, Inc. Report
....rmus.nasa	Reanalysis of Mariner 9 UV Spectrometer Data for Ozone, Cloud, and Dust Abundances, and Their Interaction Over Climate Timescales
....roe..rept	Royal Observatory, Edinburgh Report
....rse.....1	International Symposium on Remote Sensing of Environment
....saic.rept	Science Applications International Corp. Report
....sao..rept	Smithsonian Astrophysical Observatory Report
....sbim....1	Foundations of Space Biology and Medicine
....sdra.conf	Serendipitous Discoveries in Radio Astronomy
....sfdg.conf	Star Forming Dwarf Galaxies and Related Objects
....sgd..rept	Solar Geophysical Data Reports
....smrmmrept	Solar Microwave Radiation Maps Measured at Metsaehovi Radio Research Station
....smse.rept	Space Mathematics for the Preparation and the Development of Satellite Exploitations
....sowi.conf	Solar Wind Conference
....spie.conf	Presented at the Society of Photo-Optical Instrumentation Engineers (SPIE) Conference
....spmf.conf	Space Manufacturing
....spre.proc	Space Research
....spte.symp	Space Technology and Science
....sri..conf	Synchrotron Radiation Instrumentation Conference
....sri..rept	Southwest Research Inst. Report
....stan.rept	Stanford Univ. Report
....stfo.conf	Star Formation
....stsc.rept	Space Telescope Science Inst Report
....suny.rept	State Univ. of New York, Stony Brook Report
....svdc.rept	Space Vehicle Design Criteria (Environment)
....tad..conf	Theory of Accretion Disks
....tdar.nasa	Telecommunications and Data Acquisition Report
....tdp..conf	Two-Dimensional Photometry
....thph.conf	Thermophysics Conference
....tuft.rept	Tufts Univ. Report
....turk.rept	Turku Univ. Report
....tust.nasa	Translation on USSR Science and Technology
....uasg.proc	Use of Artificial Satellites for Geodesy and Geodynamics
....uat..rept	Arizona Univ., Tucson Report
....ucb..rept	California Univ., Berkeley Report
....ucla.rept	California Univ., Los Angeles Report
