....A&AA.....	Astronomy and Astrophysics Abstracts Heidelberg
....A&A......	Astronomy and Astrophysics
....AAfz.....	Astrometriia i Astrofizika
....AAHam....	Astronomische Abhandlungen der Hamburger Sternwarte
....AAIzN....	Alma Ata Izdatel Nauka
....AAONw....	Anglo-Australian Observatory Epping Newsletter
....AAOPr....	Anglo-Australian Observatory Epping Preprint
....A&ARv....	Astronomy and Astrophysics Review
....AAS......	American Astronomical Society Meeting
....A&AS.....	Astronomy and Astrophysics Supplement
....A&AS.....	Astronomy and Astrophysics Supplement Series
....AASPB....	AAS Photo Bulletin
....AASPP....	Astrononomy and Astrophysics Series
....A&AT.....	Astronomical and Astrophysical Transactions
....AbaOB....	Abastumanskaia Astrofizicheskaia Observatoriia Biulleten
....AbbOO....	Abbadia Observatory Observations
....AbhKP....	Abh. Konigl. Preuss. Akad. Wissenschaften Jahre 1906,92, Berlin,1907
....ABKie....	Astronomische Beobachtungen auf der Sternwarte der Koeniglichen Christian-Albrechts-Universitaet zu Kiel
....ABMun....	Astronomische Beobachtungen angestellt auf der K. Sternwarte zu Bogenhausen bei Muenchen
....ABSBe....	Astronomische Beobachtungen auf der Koniglichen Sternwarte zu Berlin
....ABTad....	Akademiia Nauk Tadzhikskoi SSR Institut Astrofiziki Biulleten
....AcA......	Acta Astronomica
....AcAAS....	Acta Aeronautica et Astronautica Sinica
....AcAau....	Acta Astronautica
....AcAcu....	Acta Acustica
....AcAer....	Acta Aerodynamica Sinica
....AcAM.....	Acta Applicandae Mathematicae
....AcApS....	Acta Astrophysica Sinica
....AcArm....	Acta Armamentarii
....AcAS.....	Acta Astronomica Supplementa
....AcASn....	Acta Astronomica Sinica
....AcAuS....	Acta Automatica Sinica
....AcBio....	Acta Biotheoretica
....AcC......	Acta Cosmologica
....AcCrA....	Acta Crystallographica Section A
....AcCrB....	Acta Crystallographica Section B-structural Science
....AcCrC....	Acta Crystallographica Section C-crystal Structure Communications
....AcElc....	Electrochimica Acta
....AcEle....	Acta Electronica
....AcElS....	Acta Electronica Sinica
....ACESJ....	Applied Computational Electromagnetics Society Journal
....AcFre....	Acta Frequenza
....AcGeP....	Acta Geophysica Polonica
....ACHA.....	Applied and Computational Harmonic Analysis
....AcHCh....	Helvetica Chimica Acta
....AcHPh....	Helvetica Physica Acta
....ACiCh....	Astronomical Circular
....AcM......	Acta Mathematica
....AcMaH....	Acta Mathematica Hungarica
....ACMan....	Astronomical Contributions from the University of Manchester
....AcMat....	Acta Materialia
....AcMCS....	Acta Materiae Compositae Sinica
....AcMec....	Acta Mechanica
....AcMeS....	Acta Meteorologica Sinica
....AcMet....	Acta Metallurgica
....AcMik....	Mikrochimica Acta
....AcM&M....	Acta Metallurgica et Materialia
....AcMMS....	Acta Metallurgica et Materialia Supplement
....AcMPh....	Acta Universitatis Caroliae. Mathematica et Physica
....AcMSn....	Acta Mechanica Sinica
....AcMSS....	Acta Mechanica Solida Sinica
....AcNum....	Acta Numerica
....AcOdS....	Acta Odontologica Scandinavica
....AcOpS....	Acta Optica Sinica
....AcOpt....	Optica Acta
....AcOrS....	Acta Orthopaedica Scandinavica
....AcouL....	Acoustics Letters
....AcPhA....	Acta Physica Austriaca
....AcPhH....	Acta Physica Hungarica
....AcPhS....	Acta Physiologica Scandinavica
....AcPhy....	Acoustical Physics
....AcPhy....	Acta Physica
....AcPPA....	Acta Physica Polonica A
....AcPPB....	Acta Physica Polonica B
....AcPSc....	Acta Polytechnica Scandinavica Applied Physics Series
....AcPSl....	Acta Physica Slovaca
....AcPSl....	Acta Phys Slovaca
....AcPSn....	Acta Physica Sinica
....AcRhe....	Rheologica Acta
....ACSB.....	American Ceramic Society Bulletin
....ACSC.....	American Ceramic Society Communications
....ACSJ.....	American Ceramic Society Journal
....ACSJ.....	Journal of the American Ceramic Society
....AcSpe....	Spectrochimica Acta
....AcSpe....	Spectrochimica Acta Part B-atomic Spectroscopy
....ACTAp....	Automatic Control Theory Applications
....AcTC.....	Theoretica Chimica Acta
....AcTec....	Acta Technica
....AcTec....	Acta Technica CSAV
....Acu......	Acustica
....AdA&A....	Advances in Astronomy and Astrophysics
....AdApM....	Advances in Applied Mathematics
....AdAs.....	Ad Astra
....AdAtS....	Advances in Atmospheric Sciences
....AdBeh....	Adaptive Behaviour
....ADCBu....	Astronomical Data Center Bulletin
....AdChP....	Advances In Chemical Physics
....AdCM.....	Advanced Ceramic Materials
....AdCoL....	Advanced Composites Letters
....AdCoM....	Advances in Computational Mathematics
....AdEOA....	Advances in Earth Oriented Applications and Space Technology
....AdEPS....	Advances in Earth and Planetary Sciences
....AdGeo....	Advances in Geophysics
....ADIL.....	Astronomy Data Image Library
....AdMat....	Advances in Mathematics
....AdMUM....	Advances in Mechanics Uspekhi Mekhaniki
....ADNDT....	Atomic Data and Nuclear Data Tables
....AdPhy....	Advances in Physics
....AdPhy....	Advances In Physics
....AdPoS....	Advances in Polymer Science
....AdPoS....	Advances In Polymer Science
....Adsor....	Adsorption
....AdSpR....	Advances in Space Research
....AdSSP....	Advances in Solid State Physics
....ADUrb....	University of Illinois Astronomy Department Urbana Illinois
....AeAm.....	Aerospace America
....AE&AT....	Aircraft Engineering & Aerospace Technology
....AeCh.....	Aerospace China
....AeCM.....	Aerospace Composites Materials
....AeDy.....	Aerospace Dynamics
....AeEn.....	Aerospace Engineering
....AeIBu....	Aerokosmicheski Izsledvaniia B lgariia
....AeJ......	Aeronautical Journal
....Aekv.....	Aerodinamika kanalov i ventiliatorov
....AeMat....	Aerospace Materials
....AeMed....	Aerospace Medicine
....AeQ......	Aeronautical Quarterly
....AeRaG....	Aerodinamika Razrezhennykh Gazov
....AerAs....	L'Aeronautique et l'Astronautique
....AerAs....	L'Aeronautique et L'Astronautique
....AerMS....	L'Aerotecnica Missili e Spazio
....Aero.....	Aerospace UK
....AerRv....	Revue Aerospatiale
....AerST....	Aerosol Science Technology
....AerTe....	Aerojet Technology
....AeSc.....	Collection of Papers on Aerospace Science
....AeSIJ....	Aeronautical Society India Journal
....AeSIJ....	Aeronautical Society of India Journal
....AExpr....	Astronomy Express
....AFGL.....	AFGL-TR-0208 Environemental Research papers
....AFMa.....	Air Force Magazine
....AFOEV....	Bulletin de l'Association Francaise d'Observateurs d'Etoiles Variables
....AFRE.....	Alta Frequenza Rivista di Elettronica
....AfrSk....	African Skies
....Afz......	Astrofizika
....A&G......	Astronomy and Geophysics
....AHSJ.....	American Helicopter Society Journal
....AIAAJ....	AIAA Journal
....AIASJ....	AIAA Student Journal
....AIChE....	Aiche Journal
....AIChE....	AIChE Journal
....AICSP....	Analog Integrated Circuits and Signal Processing
....AIH......	Acoustical Imaging and Holography
....AiInt....	Air International
....AIPC.....	AIP Conference Proceedings
....AirCo....	Air et Cosmos
....AirE.....	Aircraft Engineering
....AirSp....	Air and Space
....AISAO....	Astrofizicheskie Issledovaniia Izvestiya Spetsial'noj Astrofizicheskoj Observatorii
....AISof....	Astrofizicheskie Issledovaniya Sofia
....AJa......	Astronomischer Jahresbericht
....AJ.......	Astronomical Journal
....AJCh.....	Australian Journal of Chemistry
....AJSE.....	Arabian Journal of Science Engineering
....AJSR.....	Australian Journal of Soil Research
....AJ.......	The Astronomical Journal
....AkAtP....	Akademia Athenon Praktika
....AkTek....	Akustika i Ul trazvukovaia Tekhnika
....AkZh.....	Akusticheskii Zhurnal
....AlFr.....	Alta Frequenza
....ALPOJ....	Association of Lunar and Planetary Observers Journal
....Ambio....	Ambio
....AMGBS....	Archiv Meteorologie Geophysik und Bioklimatologie Serie Meteorologie und Geophysik
....AmJC.....	American Journal of Cardiology
....AmJM.....	American Journal of Mathematics
....AmJM.....	American Journal Of Mathematics
....AmJPh....	American Journal of Physics
....AmJS.....	American Journal of Science
....AmJS.....	American Journal Of Science
....AmMin....	American Mineralogist
....AMP......	Advanced Materials and Processes
....AMR......	Antartic Meteorite Research
....AMSBu....	American Meteorological Society Bulletin
....AMSBu....	Bulletin of the American Meteorological Society
....AmSci....	American Scientist
....AnaIn....	Analytical Instrumentation
....AnAp.....	Annales d'Astrophysique
....AN.......	Astronomische Nachrichten
....AnAth....	Annales de l'Observatoire national d'Athènes
....Ana......	The Analyst
....AnBes....	Annales de l'Observatoire de Besancon
....AnBio....	Analytical Biochemistry
....AnBog....	Neue Annalen der Koeniglichen Sternwarte in Bogenhausen bei Muenchen
....AnBor....	Annales de l'Observatoire de Bordeaux
....AnBos....	Annals of the Bosscha Observatory Lembang (Java) Indonesia
....AnBru....	Annales de l'Observatoire Royal de Bruxelles
....AnCap....	Annals of the Cape Observatory
....AnCGH....	Annals of Royal Observatory, Cape of Good Hope
....AnaCh....	Analytical Chemistry
....AnCoi....	Anais do Observatorio Astronomico da Universidade de Coimbra
....AnDea....	Annales of the Dearborn Observatory
....AnDud....	Annals of the Dudley Observatory
....AnEdi....	Annals of the Royal Observatory, Edinburgh
....AnErg....	Ergaenzungshefte zu den Astronomischen Nachrichten
....AnGAG....	Annals of Global Analysis Geometry
....AnG......	Annales de Geophysique
....AnGeo....	Annales Geophysicae
....AnGVP....	Annales du Bureau des Longitudes, Gauthier-Villars, Paris
....AnHar....	Annals of Harvard College Observatory
....AnIHP....	Annales De L Institut Henri Poincare-physique Theorique
....AnIHP....	Institut Henri Poincare Annales Section Physique Theorique
....AnISM....	Annals of the Institute of Statistical Mathematics
....ANLAR....	Accademia Nazionale dei Lincei Atti Rendiconti Classe di Scienze Fisiche Matematiche e Naturali
....AnLei....	Annalen van de Sterrewacht te Leiden
....AnLL.....	Annals of the Private Observatory of Lucien Libert
....AnLow....	Annals of the Lowell Observatory
....AnLun....	Annals of the Observatory of Lund
....AnMAI....	Annals of Mathematics and Artificial Intelligence
....AnMat....	Annals Of Mathematics
....AnMet....	Annalen Meteorologie
....AnMN.....	Antarctic Meteorite Newsletter
....AnMun....	Annalen der Koeniglichen Sternwarte bei Muenchen
....AnNic....	Annales de l'Observatoire de Nice
....AnOB.....	Annales de l'Observatoire Royal de Belgique
....AnOBN....	Annales de l'Observatoire Royal de Belgique Nouvelle serie
....AnOR.....	Annals of Operations Research
....ANote....	Astronomical Notes University of Gothenburg Sweden Section of Astronomy
....AnP......	Annalen der Physik
....AnP......	Annalen Der Physik
....AnPar....	Annales de l'Observatoire de Paris
....AnPCS....	Annales de Physique Colloque Supplement
....AnPh.....	Annales de Physique
....AnPhy....	Annals of Physics
....AnPOb....	Annales de l'Observatoire de Paris. Observations
....AnRE.....	Annual Review of Energy
....AnRev....	Ann Rev
....AnRFM....	Annual Review of Fluid Mechanics
....AnRFM....	Annual Review Of Fluid Mechanics
....AnRio....	Annales de l'Observatoire Imperial de Rio de Janeiro
....AnRMS....	Annual Review of Materials Science
....AnRMS....	Annual Review Of Materials Science
....AnSAO....	Annals of the Astrophysical Observatory of the Smithsonian Institution
....AnSci....	Annals of Science
....AnShO....	Shanghai Observatory Annals
....AnStr....	Annales de l'Observatoire de Strasbourg
....AnTec....	Annales Tectonicae
....AnTel....	Annales des Telecommunications
....Anten....	Antenny
....Antk.....	Antarktika
....AnTok....	Annales of the Tokyo Astronomical Observatory
....AnTou....	Annales de l'Observatoire Astron. et Meteo. de Toulouse
....AnWie....	Annalen der Universitaets-Sternwarte Wien
....ANZi.....	Beobachtungs-Zirkular der Astronomischen Nachrichten
....ApAc.....	Applied Acoustics
....ApAI.....	Applied Artificial Intelligence
....ApAN.....	Apatity Akademiia Nauk SSSR
....Ap.......	Astrophysics
....APCAJ....	Air Pollution Control Association Journal
....APEC.....	Active and Passive Electronic Components
....ApEn.....	Applied Energy
....ApEnM....	Applied Environmental Microbiology
....APh......	Astroparticle Physics
....ApInv....	Astrophysical Investigations
....ApJ......	Astrophysical Journal
....ApJS.....	Astrophysical Journal Supplement Series
....ApJS.....	The Astrophysical Journal Supplement
....ApJ......	The Astrophysical Journal
....ApKF.....	Apatity Kol skii Filial AN SSSR
....ApL......	Astrophysical Letters
....ApL&C....	Astrophysical Letters &amp; Communications
....ApL&C....	Astrophysical Letters Communications
....ApMa.....	Applications of Mathematics
....ApMaC....	Applied Mathematics Computation
....ApMaL....	Applied Mathematics Letters
....ApMaM....	Applied Mathematics and Mechanics
....ApMaM....	Applied Mathematics Mechanics English Edition
....ApMaO....	Applied Mathematics Optimization
....APMat....	Advanced Performance Materials
....ApMat....	Applied Mathematics
....ApMF.....	Applied Mathematical Finance
....ApMic....	Applied Microbiology
....ApMRv....	Applied Mechanics Reviews
....ApMT.....	Applied Microgravity Technology
....ApNM.....	Applied Numerical Mathematics
....ApNr.....	Astrophysica Norvegica
....ApOpt....	Applied Optics
....AppAn....	Applicable Analysis
....ApPhA....	Applied Physics A-materials Science &amp; Processing
....ApPhA....	Applied Physics A -- Solids and Surfaces
....ApPhB....	Applied Physics B-lasers And Optics
....ApPhB....	Applied Physics B -- Lasers and Optics
....ApPhC....	Applied Physics Communications
....ApPhL....	Applied Physics Letters
....ApPhy....	Applied Physics
....ApPPL....	Applied Physics B - Photophysics and Laser Chemistry
....ApPPL....	Applied Physics B Photophysics Laser Chemistry
....ApScR....	Applied Scientific Research
....ApSpe....	Applied Spectroscopy
....ApSRv....	Applied Spectroscopy Reviews
....ApSS.....	Applied Surface Science
....Ap&SS....	Astrophysics and Space Science
....ApSSS....	Astrophysics and Space Science Supplement
....ApSup....	Applied Superconductivity
....ARA&A....	Annual Review of Astronomy and Astrophysics
....ArA......	Arkiv for Astronomi
....ArAco....	Archives Acoustics
....ArAku....	Archiwum Akustyki
....ArApM....	Archive Applied Mechanics
....A&R......	Astronomie und Raumfahrt
....ArAuT....	Archiwum Automatyki i Telemechaniki
....ArBei....	Astrophysics Reports Publications of the Beijing Astronomical Observatory
....ArBuM....	Archiwum Budowy Maszyn
....Archa....	Archaeometry
....Arch.....	Archaeoastronomy
....ArCom....	Archivum Combustionis
....AReg.....	Astronomical register
....ArEle....	Archiwum Elektrotechniki
....ArElU....	Archiv Elektronik und Uebertragungstechnik
....ARep.....	Astronomy Reports
....AREPS....	Annual Review of Earth and Planetary Sciences
....ARI......	An Interdisciplinary Journal of Physical and Engineering Sciences
....ARKod....	Annual Report of the Kodaikanal Observatory
....ArMAF....	Ark. Mat. Astr. Fys.
....ArMAM....	Archives Mechanics Archiwum Mechaniki Stosowanej
....ArMeS....	Archiwum Mechaniki Stosowanej
....ArmOL....	Armagh Observatory Leaflet
....ARNPS....	Annual Review of Nuclear and Particle Science
....ARNPS....	Annual Reviews of Nuclear and Particle Science
....ARNPS....	Annual Review of Nuclear Science
....ARPC.....	Annual Review Of Physical Chemistry
....ARPM.....	Adgeziia Rasplavov i Paika Materialov
....ArPSp....	Archiwum Procesow Spalania
....ArRMA....	Archive for Rational Mechanics and Analysis
....ArRMA....	Archive For Rational Mechanics And Analysis
....ArS......	Archives des Sciences
....ArtSa....	Artificial Satellites
....ArtSa....	Artificial Satellites - Planetary Geodesy
....ArTSp....	Archiwum Termodynamiki i Spalania
....AsAcS....	Astronautica Acta Supplement
....AsAer....	Astronautics Aeronautics
....ASAJ.....	Acoustical Society of America Journal
....ASAJ.....	Journal of the Acoustical Society of America
....AsAna....	Asymptotic Analysis
....AsAut....	Assembly Automation
....AsBio....	Astrobiology
....ASFAS....	Academia Scientiarum Fennica Annales Series Physica
....ASHRA....	ASHRAE Journal
....Aslib....	Aslib Proc
....Aslib....	Aslib Proceedings: new information perspectives
....ASLLR....	Accademia di Scienze e Lettere Istituto Lombardo Rendiconti Serie della Classe di Scienze Matematiche e Naturali Sezione Scienze Matematiche Fisiche Chimiche e Geologiche
....ASME.....	American Society of Mechanical Engineers
....Asnau....	Astronautik
....ASNYN....	News Letter of the Astronomical Society of New York
....ASPC.....	Astronomical Society of the Pacific Conference Series
....ASPL.....	Leaflet of the Astronical Society of the Pacific
....ASPLS....	Leaflet of the Astronical Society of the Pacific (Supplement)
....ASPRv....	Astrophysics and Space Physics Reviews
....ASSAB....	Academie Serbe des Sciences et des Arts Bulletin Classe des Sciences Techniques
....ASSFA....	Acta Societatis Scientarum Fennicae Series A
....ASSF.....	Acta Societatis Scientarum Fennicae
....ASSU.....	Annual Scientific Supplement to Urania
....AS&T.....	Aerosol Science & Technology
....Ast......	Astronomy
....AstBa....	Biblioteca "Astrei Basarabene"
....Aster....	Aster
....AstHe....	Astronomical Herald
....AstL.....	Astronomy Letters
....Astrf....	L'Astrofilo Bolletino Trimestral del Gruppo Astrofili Villaggio Sereno Brescia
....AtEn.....	Atomnaia Energiia
....AtERv....	Atomic Energy Review
....ATi......	Astronomisk Tidsskrift
....ATJAM....	ASME Transactions Journal of Applied Mechanics
....ATJAM....	ASME Transactions Series E Journal of Applied Mechanics
....ATJDS....	ASME Transactions Journal of Dynamic Systems and Measurement Control B
....ATJEG....	ASME Transactions Journal of Engineering for Gas Turbines and Power
....ATJEG....	ASME Transactions Journal of Engineering Gas Turbines and Power
....ATJEl....	ASME Transactions Journal of Electronic Packaging
....ATJEM....	ASME Transactions Journal Engineering Materials and Technology
....ATJEn....	ASME Transactions Journal of Engineering Power
