whdw.conf	Vauclair, Sion, White Dwarfs, Kluwer
aagq.conf	ASTROPHYS. ACTIVE GALAX.&QSOS: STA.CRUZ 1985
acfp.conf	ASTRONOMY COSMOLOGY & FUND.PHYSICS: 3RD ESO-CERN
acm..conf	ASTEROIDS COMETS METEORS: UPPSALA:1983JUN20-22
acm..proc	Asteroid, Comet, Meteors 1991
acm..proc	Asteroid, Comet, Meteors 1993
acsw.conf	ASTROPHYSICAL COSMOLOGY: STUDY WEEK: SEP-OCT 1982
adlg.conf	L'ACTIVITE DANS LES GALAXIES - PARIS - 1987JUNE
adra.conf	AUTOMATED DATA RETRIEVAL IN ASTRONOMY=IAU COLL#64
adsx.conf	ACCRETION-DRIVEN STELLAR X-RAY SOURCES
adsx.conf	Accretion Driven Stellar X-Ray Sources, eds. W. H. G. Lewin, E. P. J. van den Heuvel, Cambridge University Press
adu..conf	200TH.ANNIV.DISC.URANUS:BATH/1982APR:IAU COLL.#60
aeas.conf	ACCURACY / ELEMENT ABUND. / STELLAR ATMOSPHERES
agn..conf	ACTIVE GALACTIC NUCLEI / GEORGIA STATE UNIV 1987
aia..conf	ATOMS IN ASTROPHYSICS
aiaa.meet	Proc. AIAA
ais..conf	ASTRONOMICAL INFRARED SPECTROSCOPY: FUT.OBS.DIR.
amd..conf	APPL.MOD.DYN./CELEST.MECH.&ASTRODYN.:NATO 1981AUG
amml.conf	ANGULAR MOMENTUM AND MASS LOSS FOR HOT STARS
anr..conf	APPROACHES TO NUMERICAL RELATIVITY - SOUTHAMPTON
ans..conf	ACCRETING NEUTRON STARS MAX-PLANCK-INSTITUT
aoa..conf	ACTIVITY & OUTER ATMOS. / SUN&STARS: SAAS-FEE 11
apgc.conf	ASTROPH. PARAM. GLOB. CLUST: I.A.U.COLL.68: 1981
araa.conf	ARCHAEOASTRONOMY IN THE AMERICAS: SANTA FE 1981
ards.conf	ACTIVITY IN RED DWARF STARS: IAU COLL.71:CATANIA
arnw.conf	ARCHAEOASTRONOMY IN THE NEW WORLD: OXFORD: 81SEP
asas.conf	ASTRONOMY AND ASTROPHYSICS FOR THE 1980'S -
asdb.conf	ASTRODATA DATABASE
asje.work	ASTROPHYSICAL JETS, WORKSHOP: OCT82:TORINO,ITALY
asph.conf	ASTRONOMICAL PHOTOGRAPHY 1981: CNRS 1981MAY
asph.conf	ASTRONOMICAL PHOTOGRAPHY 1984: EDINBURGH 84APR
aspr.conf	ASIAN-SOUTH PACIFIC REGIONAL MTG. ASTRONOMY, 1ST
