#
A&A......	A & A
A&A......	A&A
A&A......	A__amp__amp;A
A&A......	A__amp__amp;A,
A&A......	AA
A&A......	AP&A
A&A......	Astr. & Ap.
A&A......	Astr. and Ap.
A&A......	Astr. Ap.
A&A......	Astro. & Astrophys.
A&A......	Astro. and Astrophys.
A&A......	Astro. Astrophys.
A&A......	Astron and Astrophys. 
A&A......	Astron Astrophys.
A&A......	Astron. & Astrophys.
A&A......	Astronomy & Astrophysics
A&A......	Astronomy and Astrophysics
A&A......	Astronomy Astrophysics
A&ARv....	A&A Rev.
A&ARv....	A&A Review
A&ARv....	A&AR
A&ARv....	Astron. Astrophys. Rev.
A&ARv....	Astronomy & Astrophysics Review
A&ARv....	Astronomy and Astrophysics Review
A&AS.....	A&AS
A&AS.....	A&ASS
A&AS.....	AAPS
A&AS.....	Astr. & Ap. Suppl.
A&AS.....	Astr. and Ap. Suppl.
A&AS.....	Astr. Ap. Suppl.
A&AS.....	Astron. & Astrophys. Supp.
A&AS.....	Astron. & Astrophys. Suppl.
A&AS.....	Astron. & Astrophys. Suppl. Ser.
A&AS.....	Astron. & Astrophys. Supplement
A&AS.....	Astron. & Astrophys. Supplement Series
A&AS.....	Astron. and Astrophys. Supp.
A&AS.....	Astron. and Astrophys. Suppl.
A&AS.....	Astron. and Astrophys. Suppl. Ser.
A&AS.....	Astron. and Astrophys. Supplement
A&AS.....	Astron. and Astrophys. Supplement Series
A&AS.....	Astron. Astrophys. Supp.
A&AS.....	Astron. Astrophys. Suppl.
A&AS.....	Astron. Astrophys. Suppl. Ser.
A&AS.....	Astron. Astrophys. Supplement
A&AS.....	Astron. Astrophys. Supplement Series
A&AT.....	Astron. & Astrop. Transac.
AAMOP....	Adv. At. Mol. Opt. Phys.
AASPB....	AMER. ASTRON. SOC. PHOTO BULL.
AASPB....	AMER. ASTRON. SOC. PHOTO BULLETIN
AbaOB....	Bull. Abastum. Astrophys. Obs.
AbaOB....	BULLETIN. ABASTUMANI ASTROPHYS. OBS.
ABTad....	Akademiia Nauk Tadzhikskoi SSR Institut Astrofiziki Biulleten
AcA......	Acta Astron.
AcA......	Acta Astron. Ser. A
AcA......	ACTA ASTRONOMICA
AcA......	Acta Astronomica
AcAau....	Acta Astronaut.
AcAM.....	Acta Applicandae Mathematicae
AcApS....	Acta Astrophys. Sin.
AcApS....	ACTA ASTROPHYSICA SINICA
AcAS.....	Acta Astronomica Supplementa
AcASn....	Acta Astron. Sin.
AcASn....	ACTA ASTRONOMICA SINICA
AcBAS....	Acta Biochimica and Biophysica Academiae Scientarium Hungarica
AcBB.....	Biochimica et Biophysica Acta
AcBBH....	Acta Biochimica et Biophysica Hungarica
AcBBS....	Acta Biochimica et Biophysica Sinica
AcBio....	Acta Biotheoretica
AcC......	ACTA COSMOLOGICA
AcChR....	Acc. Chem. Res.
AcChR....	Accounts Chem. Res.
AcCrB....	Acta Crystallographica Section B
AcCrC....	Acta Crystallographica Section C
AcCS.....	Acta Chemica Scandinavica Series A
AcElc....	Acta Electrochimica
AcHA.....	Acta Historica Astronomiae
AcHCh....	Helvetica Chimica Acta
AcMaH....	Acta Mathematica Hungarica
AcMet....	Acta Metallurgica
ACMFE....	Aquatic Conservation: Marine and Freshwater Ecosystems
AcMMS....	Acta Metallurgica et Materialia Supplement
AcOC.....	Oceanologica Acta
AcOdS....	Acta Odontologica Scandinavica
AcOrS....	Acta Orthopaedica Scandinavica
ACP......	ATMOS CHEM PHYS
AcPhy....	Acta Physica Acad. Sci. Hungarical.
AcPSP....	Acta Polytechnica Scandinavica Physics
AcSpA....	SPECTROCHIM ACTA A
AdA&A....	Adv. Astr. Ap.
AdA&A....	Adv. Astron. Astrophys.
AdAeS....	Advances in Aeronautical Sciences
AdAMP....	Advan. At. Mol. Phys.
AdAst....	Adv. Astron.
AdAst....	Advances in Astronomy
AdBeh....	Adaptive Behaviour
AdBio....	Advances in Biophysics
AdBMP....	Advances in Biological and Medical Physics
ADCBu....	ASTRONOMICAL DATA CENTER BULLETIN
AdChP....	Adv. Chem. Phys.
AdCoM....	Advances in Computational Mathematics
AdCP.....	Advances in Cardiovascular Physics
AdEEP....	Advances in Electronics and Electron Physics
AdEOA....	Advances in Earth Oriented Applications and Space Technology
AdExG....	Advances in Exploration Geophysics
AdGDP....	Advances in Geophysical Data Processing
AdGeo....	Adv. Geophys.
AdGeo....	Adv. Geophys. A
AdGeo....	Adv. Geophysics
AdGeS....	Advances in Geophysics Supplement
AdGR.....	Advances in Geophysical Research
ADIEP....	Advances in Imaging and Electron Physics
AdMat....	Advances in Mathematics
AdMPS....	Advances in Mechanics and Physics of Surfaces
ADNDT....	At. Data Nucl. Data Tables
ADNDT....	Atomic Data Nucl. Data
AdPhG....	Advances in Physical Geochemistry
AdPhy....	Adv. Phys.
AdPoS....	Advances in Polymer Science
AdPPR....	Advances in Plasma Physics Research
AdSMP....	Advanced Series in Mathematical Physics
Adsor....	Adsorption
AdSpR....	Adv. in Space Res.
AdSpR....	Adv. Space Res
AdSpR....	Adv. Space Res.
AdSpR....	Adv. Space Res. 
AdSpR....	Adv. Space Research :
AdSpR....	Adv. Space. Res.
AdSpR....	Space Res.
AdTMP....	Adv Theor Math Phys
AdTPh....	Advanced Texts in Physics
ADUrb....	University of Illinois Astronomy Department Urbana Illinois
AE&AT....	Aircraft Engineering & Aerospace Technology
AEdRv....	AER
AExpr....	ASTRONOMY EXPRESS
Afz......	Astrofisica
Afz......	ASTROFIZIKA
Afz......	Astrofizika
Afz......	ASTROPHYSICS (TR. ASTROFIZIKA)
Afz......	ASTROPHYSICS (TR.: ASTROFIZIKA)
Afz......	ASTROPHYSICS (TR.ASTROFIZIKA)
AGp......	Annals of Geophysics
AIAAJ....	AIAA J.
AIChE....	AIChE J.
AIChE....	AIChE Journal
AIChE....	Am. Inst. Chem. Eng. J.
AICSP....	Analog Integrated Circuits and Signal Processing
AIHAJ....	AIHA J.
AIPBB....	Archives Internationales de Physiologie de Biochimie et de Biophysique
AIPC.....	AIP Conf. Proc.
AIPC.....	AIP Conf. Ser.
AIPC.....	AIP Conference Proceedings
AIPC.....	AIP Conf. Proc. Vol.
AISAO....	ASTROF. ISSLED. IZV. SPETS. ASTR. OBS.
AJ.......	A. J.
AJ.......	A. Journ.
AJ.......	Astr. J.
AJ.......	Astr. Journal
AJ.......	Astron J.
AJ.......	Astron. J
AJ.......	Astron. J.
AJ.......	Astron. J. 
AJ.......	Astron. Journ. 
AJ.......	Astron. ourn. 
AJ.......	Astronom. J.
AJ.......	ASTRONOMICAL JOURNAL
AJ.......	II. Astron. J.
AJSR.....	Aust. J. Soil Res.
